dataset,subject_id,model,seed,fingerprint,action,status,job_dir,checkpoint_id,subject_metric,num_recordings,error
etard_tf64,P07,fcnn,0,048194b470a9e28ed748860903f4fc3246d520b8,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P07/fcnn/seed_0,fcnn_epoch_2,0.04177073348545885,40,
etard_tf64,P07,adt,0,290dd03e39692f3bb5bd20d066b87b20f070d380,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P07/adt/seed_0,adt_epoch_6,0.049861735416904696,40,
etard_tf64,P08,ridge,0,b02aa62926023714d9ef06fad4191a0585739e7f,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P08/ridge/seed_0,ridge_alpha_100.0,0.13968358567888628,40,
etard_tf64,P08,cca,0,2a6b6cd9e2b8eb9c44c3c103d842827040e0d759,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P08/cca/seed_0,cca_nc_4,0.07555111566470898,40,
etard_tf64,P08,fcnn,0,7f05f0ec13d5e155299d13fd8701c96e83485eb7,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P08/fcnn/seed_0,fcnn_epoch_3,0.08142240033347493,40,
etard_tf64,P08,adt,0,5b0f39a00090fa7fe6bd1c00af3f6cd52f2aeee3,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P08/adt/seed_0,adt_epoch_2,0.15441509786735494,40,
etard_tf64,P09,ridge,0,5495c53068be4168b075e6b1c9ca67e70acfab22,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P09/ridge/seed_0,ridge_alpha_100.0,0.10027054598356153,40,
etard_tf64,P09,cca,0,5107bd2b9d7a1eb5bd5cccd1412d7ef1c464f631,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P09/cca/seed_0,cca_nc_4,0.0699837192568564,40,
etard_tf64,P09,fcnn,0,e7f0761f65cf40cdcd8282cc79d1ac738618c88f,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P09/fcnn/seed_0,fcnn_epoch_4,0.06090749762007626,40,
etard_tf64,P09,adt,0,85b209b29aff1b58470bae55d5ffcc3eaf01fd65,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P09/adt/seed_0,adt_epoch_4,0.11294602654166166,40,
