dataset,subject_id,model,seed,test_recording_rows
weissbart_tf64,P04,dnn,0,15
weissbart_tf64,P04,eegnet,0,15
weissbart_tf64,P04,elasticnet,0,15
weissbart_tf64,P04,fcnn,0,15
weissbart_tf64,P04,happyquokka,0,15
weissbart_tf64,P04,lasso,0,15
weissbart_tf64,P04,linear,0,15
weissbart_tf64,P04,ridge,0,15
weissbart_tf64,P04,vlaai,0,15
weissbart_tf64,P05,adt,0,15
weissbart_tf64,P05,cca,0,15
weissbart_tf64,P05,cnn,0,15
weissbart_tf64,P05,dnn,0,15
weissbart_tf64,P05,eegnet,0,15
weissbart_tf64,P05,elasticnet,0,15
weissbart_tf64,P05,fcnn,0,15
weissbart_tf64,P05,happyquokka,0,15
weissbart_tf64,P05,lasso,0,15
weissbart_tf64,P05,linear,0,15
weissbart_tf64,P05,ridge,0,15
weissbart_tf64,P05,vlaai,0,15
weissbart_tf64,P06,adt,0,15
weissbart_tf64,P06,cca,0,15
weissbart_tf64,P06,cnn,0,15
weissbart_tf64,P06,dnn,0,15
weissbart_tf64,P06,eegnet,0,15
weissbart_tf64,P06,elasticnet,0,15
weissbart_tf64,P06,fcnn,0,15
weissbart_tf64,P06,happyquokka,0,15
weissbart_tf64,P06,lasso,0,15
weissbart_tf64,P06,linear,0,15
weissbart_tf64,P06,ridge,0,15
weissbart_tf64,P06,vlaai,0,15
weissbart_tf64,P07,adt,0,15
weissbart_tf64,P07,cca,0,15
weissbart_tf64,P07,cnn,0,15
weissbart_tf64,P07,dnn,0,15
weissbart_tf64,P07,eegnet,0,15
weissbart_tf64,P07,elasticnet,0,15
weissbart_tf64,P07,fcnn,0,15
weissbart_tf64,P07,happyquokka,0,15
weissbart_tf64,P07,lasso,0,15
weissbart_tf64,P07,linear,0,15
weissbart_tf64,P07,ridge,0,15
weissbart_tf64,P07,vlaai,0,15
weissbart_tf64,P08,adt,0,15
weissbart_tf64,P08,cca,0,15
weissbart_tf64,P08,cnn,0,15
weissbart_tf64,P08,dnn,0,15
weissbart_tf64,P08,eegnet,0,15
weissbart_tf64,P08,elasticnet,0,15
weissbart_tf64,P08,fcnn,0,15
weissbart_tf64,P08,happyquokka,0,15
weissbart_tf64,P08,lasso,0,15
weissbart_tf64,P08,linear,0,15
weissbart_tf64,P08,ridge,0,15
weissbart_tf64,P08,vlaai,0,15
weissbart_tf64,P09,adt,0,15
weissbart_tf64,P09,cca,0,15
weissbart_tf64,P09,cnn,0,15
weissbart_tf64,P09,dnn,0,15
weissbart_tf64,P09,eegnet,0,15
weissbart_tf64,P09,elasticnet,0,15
weissbart_tf64,P09,fcnn,0,15
weissbart_tf64,P09,happyquokka,0,15
weissbart_tf64,P09,lasso,0,15
weissbart_tf64,P09,linear,0,15
weissbart_tf64,P09,ridge,0,15
weissbart_tf64,P09,vlaai,0,15
weissbart_tf64,P10,adt,0,15
weissbart_tf64,P10,cca,0,15
weissbart_tf64,P10,cnn,0,15
weissbart_tf64,P10,dnn,0,15
weissbart_tf64,P10,eegnet,0,15
weissbart_tf64,P10,elasticnet,0,15
weissbart_tf64,P10,fcnn,0,15
weissbart_tf64,P10,happyquokka,0,15
weissbart_tf64,P10,lasso,0,15
weissbart_tf64,P10,linear,0,15
weissbart_tf64,P10,ridge,0,15
weissbart_tf64,P10,vlaai,0,15
weissbart_tf64,P11,adt,0,15
weissbart_tf64,P11,cca,0,15
weissbart_tf64,P11,cnn,0,15
weissbart_tf64,P11,dnn,0,15
weissbart_tf64,P11,eegnet,0,15
weissbart_tf64,P11,elasticnet,0,15
weissbart_tf64,P11,fcnn,0,15
weissbart_tf64,P11,happyquokka,0,15
weissbart_tf64,P11,lasso,0,15
weissbart_tf64,P11,linear,0,15
weissbart_tf64,P11,ridge,0,15
weissbart_tf64,P11,vlaai,0,15
weissbart_tf64,P12,adt,0,15
weissbart_tf64,P12,cca,0,15
weissbart_tf64,P12,cnn,0,15
weissbart_tf64,P12,dnn,0,15
weissbart_tf64,P12,eegnet,0,15
weissbart_tf64,P12,elasticnet,0,15
weissbart_tf64,P12,fcnn,0,15
weissbart_tf64,P12,happyquokka,0,15
weissbart_tf64,P12,lasso,0,15
weissbart_tf64,P12,linear,0,15
weissbart_tf64,P12,ridge,0,15
weissbart_tf64,P12,vlaai,0,15
